Jenis,Harga,K. Mandi Dalam,WiFi,Kasur,AC,Kloset Duduk,Akses 24 Jam
2,700000,1,1,0,0,0,1
1,1300000,1,1,1,1,1,0
3,500000,0,1,1,0,0,1
1,1500000,1,1,1,1,1,0
1,1200000,1,1,1,1,0,1
2,750000,1,1,1,1,0,0
3,1000000,0,1,1,1,0,1
1,1300000,1,1,1,1,1,1
1,400000,0,1,1,0,1,1
1,700000,1,1,1,0,0,1
1,1450000,1,0,1,1,0,1
1,450000,0,1,0,0,0,0
3,1500000,0,1,1,1,1,1
3,800000,0,0,1,0,1,0
2,1400000,1,0,1,1,1,1
2,950000,1,1,1,1,1,1
3,600000,1,1,1,0,1,0
1,2000000,1,1,1,1,1,0
1,1600000,1,1,1,1,1,1
1,1500000,1,0,1,1,1,0
1,1350000,1,0,1,1,0,0
3,700000,0,1,0,0,1,1
1,1500000,1,1,1,1,0,1
1,1500000,1,1,1,1,1,1
1,750000,1,1,1,0,0,1
3,575000,0,1,1,0,0,0
3,800000,1,1,1,0,1,0
3,750000,1,1,1,0,1,0
2,550000,0,1,1,0,0,1
1,1550000,1,1,1,1,0,1
1,1350000,1,0,1,1,0,0
3,500000,0,0,1,0,0,1
1,3200000,1,1,1,1,1,1
1,3500000,1,0,1,1,0,0
1,1200000,0,1,1,1,1,1
1,1500000,1,1,1,1,1,1
2,1800000,1,1,1,1,1,0
3,850000,1,1,1,1,1,1
1,850000,1,1,1,0,1,1
